CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
23895175|Rua|Tharsis e Paula|||Fazenda Caxias|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.7530802|-43.7159011
23895740|Rua|Antônio Rosa|||Santa Sofia|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.7530802|-43.7159011
23898120|Rua|das Flores|||Campo Lindo|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.8394543|-43.6230837
23898515|Rua|D|(Lot Boa Fé)||Piranema|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.7440878|-43.7010709
23912440|Avenida|João Pedro II|||Camorim|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0070117|-44.5386688
23916120|Rua|Dalva Moreira da Silva|||Monsuaba|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0057347|-44.3157591
23932170|Rua|Aparecida Helena Ribeiro da Silva|||Areal (Cunhambebe)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0057347|-44.3157591
23932495|Rua|São Vicente|||Campo Belo (Cunhambebe)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-19.7504844|-40.3798368
23934195|Rua|Nilópolis|||Japuíba (Cunhambebe)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-22.9702020|-44.3004415
23953090|Travessa|Manoel Farias|||Parque Perequê (Mambucaba)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0187090|-44.5365086
23953510|Travessa|dos Motoristas|||Parque Perequê (Mambucaba)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0057347|-44.3157591
23954240|Rua|Boa Sorte|||Parque Mambucaba (Mambucaba)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0161952|-44.5347122
23954355|Travessa|Monte Gerezim|||Parque Mambucaba (Mambucaba)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0057347|-44.3157591
23955405|Travessa|das Bromélias|||Parque Mambucaba (Mambucaba)|Angra dos Reis|3300100|RJ|Rio de Janeiro|33|-23.0046665|-44.5328529
24130600|Travessa|Luiz Fernando Pinheiro|||Fonseca|Niterói|3303302|RJ|Rio de Janeiro|33|-22.8736972|-43.0841711
24130736|Travessa|Projetada B|||Fonseca|Niterói|3303302|RJ|Rio de Janeiro|33|-22.8885896|-43.0744694
24140400|Rua|Machado|||Caramujo|Niterói|3303302|RJ|Rio de Janeiro|33|-22.8860531|-43.0618008
24230126|Rua|Jornalista Irineu Marinho|||Icaraí|Niterói|3303302|RJ|Rio de Janeiro|33|-22.9098238|-43.1039882
24240450|Rua|Tomé Tostes|||Cubango|Niterói|3303302|RJ|Rio de Janeiro|33|-22.8858975|-43.1152211
24315310|Rua|Monte Castelo|(Lot Jd Constelação)||Ititioca|Niterói|3303302|RJ|Rio de Janeiro|33|-19.7504844|-40.3798368
24322260|Rua|Porto Alegre|||Mata Paca|Niterói|3303302|RJ|Rio de Janeiro|33|-22.8858838|-43.0310798
24346053|Avenida|Boa Vista|||Itaipu|Niterói|3303302|RJ|Rio de Janeiro|33|-22.9555733|-43.0311648
24348010|Praia|Itacoatiara|||Itacoatiara|Niterói|3303302|RJ|Rio de Janeiro|33|-22.9745131|-43.0338532
24350090|Rua|Maestro Carlos Monteiro de Souza|||Piratininga|Niterói|3303302|RJ|Rio de Janeiro|33|-22.9304085|-43.0733255
24358620|Rua|José de Carvalho Heitor|||Camboinhas|Niterói|3303302|RJ|Rio de Janeiro|33|-22.9554408|-43.0590164
24417210|Rua|Manuel Azevedo|||Engenho Pequeno|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8025646|-43.0453885
24421040|Travessa|Francisca Marques|||Rocha|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8294985|-43.0486718
24422560|Rua|Maria Cândida de Oliveira|||Galo Branco|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24435821|Travessa|Joselina Andrade|||Porto Novo|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8204883|-43.0792534
24451570|Rua|Paulo Cabral|||Colubande|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8351536|-43.0622523
24455475|Rua|Havaí|||Nova Cidade|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8107887|-43.0234700
24455720|Rua|Álvaro Brandão|||Nova Cidade|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8025669|-43.0248890
24461660|Rodovia|BR-101|- do km 11,000 ao km 11,999||Itaúna|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.7937351|-43.0278766
24470270|Rua|Leila de Moraes Viana|||Porto do Rosa|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.7997198|-43.0494379
24470400|Rua|Luiza de Gusmão|||Porto do Rosa|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.7935804|-43.0499859
24471304|Rua|Hoel Nogueira|||Itaoca|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24474175|Rua|Major Felipe Pinto|||Itaúna|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24475040|Rua|Waldemiro Silveira|||Itaúna|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24476570|Rua|Deputado Américo Peixoto|||Itaúna|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.7691616|-43.0133942
24711171|Rua|Eduardo Brasão|||Vila Três|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8164996|-42.9962319
24715190|Rua|Madri|||Jardim Catarina|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8078414|-42.9946387
24716454|Avenida|Doutor Albino Imparato|- de Quadra 152 a Quadra 193||Jardim Catarina|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8102845|-42.9985916
24720520|Loteamento|Boa Vista do Laranjal|||Laranjal|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8128290|-42.9929060
24724775|Rua|Itaperi|||Monjolos|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24726123|Rua|Dona Antônia Couto|||Guaxindiba|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.7822424|-42.9624218
24732045|Rua|Marcelino Mesquita|||Amendoeira|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24737596|Rua|Capistrano de Abreu|||Santa Isabel|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8459984|-42.9418922
24738590|Rua|Auta Rosa|||Santa Isabel|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8598780|-42.9423196
24738807|Rua|Almerinda Veloso da Cunha|||Santa Isabel|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8272883|-43.0637646
24744300|Rua|Pastor Avelino de Souza|||Colubande|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8504455|-43.0081408
