Cep Inicial|Cep Final|Bairro|Cidade|Estado
08770210|08770210|Vila Industrial|Mogi das Cruzes|SP
08771321|08771321|Aruã|Mogi das Cruzes|SP
08771600|08771600|Chácara Guanabara|Mogi das Cruzes|SP
08773060|08773060|Vila Mogilar|Mogi das Cruzes|SP
08774150|08774150|Jardim Piatã A|Mogi das Cruzes|SP
08775070|08775070|Parque Ponte Grande|Mogi das Cruzes|SP
08775395|08775395|Jardim Marica|Mogi das Cruzes|SP
08830120|08830120|Jardim São Pedro|Mogi das Cruzes|SP
08830650|08830660|Vila Nova Aparecida|Mogi das Cruzes|SP
08832030|08832030|Cézar de Souza|Mogi das Cruzes|SP
09050070|09050070|Vila Floresta|Santo André|SP
09071460|09090506|Vila Guiomar|Santo André|SP
09111720|09111720|Cidade São Jorge|Santo André|SP
09130210|09130210|Vila Lutécia|Santo André|SP
09160354|09160354|Jardim Club de Campo|Santo André|SP
09171834|09171834|Jardim Cipreste|Santo André|SP
09175700|09175810|Vila Linda|Santo André|SP
09185700|09185700|Jardim Stella|Santo André|SP
09190440|09190440|Vila Gilda|Santo André|SP
09190720|09190720|Paraíso|Santo André|SP
09210580|09210580|Santa Terezinha|Santo André|SP
09220160|09220160|Vila Metalúrgica|Santo André|SP
09230030|09230030|Utinga|Santo André|SP
09240700|09240700|Vila Alto de Santo André|Santo André|SP
09250355|09250355|Jardim Utinga|Santo André|SP
09272386|09272434|Jardim Alzira Franco|Santo André|SP
09320771|09321460|Jardim Zaira|Mauá|SP
09340350|09340350|Jardim Bela Vista|Mauá|SP
09340550|09340550|Jardim Paulista|Mauá|SP
09350570|09350570|Parque das Américas|Mauá|SP
09361174|09361174|Vila Mercedes|Mauá|SP
09361190|09361190|Jardim Camila|Mauá|SP
09370210|09370210|Matriz|Mauá|SP
09400080|09401090|Centro|Ribeirão Pires|SP
09402190|09405250|Colônia|Ribeirão Pires|SP
09424150|09424150|Centro Alto|Ribeirão Pires|SP
09432535|09432535|Pilar Velho|Ribeirão Pires|SP
09436290|09436290|Tanque Caio|Ribeirão Pires|SP
09445200|09445200|Somma|Ribeirão Pires|SP
09520440|09520440|Fundação|São Caetano do Sul|SP
09530740|09530740|Cerâmica|São Caetano do Sul|SP
09550051|09550051|Barcelona|São Caetano do Sul|SP
09572110|09572110|Boa Vista|São Caetano do Sul|SP
09580540|09580540|Mauá|São Caetano do Sul|SP
09625000|09633000|Rudge Ramos|São Bernardo do Campo|SP
09663010|09663010|Taboão|São Bernardo do Campo|SP
09725110|09725110|Vila Gonçalves|São Bernardo do Campo|SP
09732220|09732570|Anchieta|São Bernardo do Campo|SP
09765620|09772000|Montanhão|São Bernardo do Campo|SP
09790450|09790450|Ferrazópolis|São Bernardo do Campo|SP
